,Name,Accuracy,Precision,Recall,F1,Average,Hyperparameter
0,SVM,0.0,0.0,0.0,0.0,0.2,1
1,logistic Regression,0.9277456647398844,0.8875911369332422,0.8836806871289631,0.8842501585288522,0.8958169118327355,none
2,Random Forest,0.9450867052023122,0.9102614261334709,0.8688092080333459,0.8808824674264462,0.9012599516988938,60
3,Gaussian Naive Bayes,0.8554913294797688,0.7657440598617069,0.7713267336112163,0.7475117152705162,0.7850184595558021,1.0
4,KNN,0.8815028901734104,0.9139157273215244,0.6215138309965895,0.6732085561497325,0.7725352511603143,9
5,Decision Tree,0.9653179190751445,0.9510687229437229,0.9391878236705823,0.9448027471389618,0.950094303207103,gini
6,Multinomial Naive Bayes,0.8179190751445087,0.8107640434434256,0.5648801629405078,0.6186929309748918,0.7030640531258334,0.0
7,Bernoulli Naive Bayes,0.8554913294797688,0.8202105482593287,0.7432005494505494,0.7595122734710835,0.7946036751651826,0.0
8,AdaBoost,0.9653179190751445,0.9510687229437229,0.9391878236705823,0.9448027471389618,0.950094303207103,DecisionTreeClassifier()
9,Gradient Boosting,0.9971098265895953,0.9886363636363636,0.9967948717948718,0.9925731432858215,0.993778551326663,0.5
10,Extra Trees,0.9479768786127167,0.893296279491833,0.8777622521157005,0.8849601702313401,0.9009988951128975,10
