,Name,Accuracy,Precision,Recall,F1,Average,Hyperparameter
0,SVM,0.0,0.0,0.0,0.0,0.2,1
1,logistic Regression,0.9364161849710982,0.9311912110523222,0.9275428654460912,0.9287495109006451,0.9309749430925391,none
2,Random Forest,0.9682080924855492,0.9676470588235294,0.9262768817204301,0.9406641319478453,0.9506990412443386,70
3,Gaussian Naive Bayes,0.8786127167630058,0.7388706489863572,0.7906604184829991,0.7546947578015151,0.7907096355084693,1.0
4,KNN,0.9075144508670521,0.9303264303264304,0.6931148890826311,0.7413899937301619,0.8180864410015689,9
5,Decision Tree,0.976878612716763,0.9824542284219704,0.9824542284219704,0.9824542284219704,0.9810603244956685,entropy
6,Multinomial Naive Bayes,0.8757225433526011,0.8324833965844403,0.6328411072362686,0.6842850983972408,0.7563330363926377,0.2
7,Bernoulli Naive Bayes,0.8670520231213873,0.8006827731092437,0.7802576770318705,0.7826336856434065,0.807656539726477,0.2
8,AdaBoost,0.9595375722543352,0.9406629554655871,0.9048374987891117,0.9190008960573477,0.9310097306415954,DecisionTreeClassifier()
9,Gradient Boosting,1.0,1.0,1.0,1.0,1.0,0.3
10,Extra Trees,0.9682080924855492,0.9701730418943534,0.926083745035358,0.9456299986556385,0.9525237195177247,7
