,Name,Accuracy,Precision,Recall,F1,Average,Hyperparameter
0,SVM,0.3,0.09999999999999999,0.3333333333333333,0.15384615384615383,0.22179487179487178,0.1
1,logistic Regression,0.95,0.9583333333333334,0.9523809523809524,0.9521367521367522,0.9532127594627595,none
2,Random Forest,1.0,1.0,1.0,1.0,1.0,90
3,Gaussian Naive Bayes,0.975,0.9777777777777779,0.9722222222222222,0.9740129935032483,0.9747532483758121,0.01
4,KNN,0.925,0.9317460317460317,0.9246031746031745,0.9272149639465982,0.9271410425739511,10
5,Decision Tree,0.95,0.9583333333333334,0.9523809523809524,0.9521367521367522,0.9532127594627595,gini
6,Multinomial Naive Bayes,0.675,0.6736928104575163,0.6785714285714285,0.6572622779519331,0.6711316292452195,0.0
7,Bernoulli Naive Bayes,0.3,0.09999999999999999,0.3333333333333333,0.15384615384615383,0.22179487179487178,0.0
8,AdaBoost,0.95,0.9583333333333334,0.9523809523809524,0.9521367521367522,0.9532127594627595,DecisionTreeClassifier()
9,Gradient Boosting,0.95,0.9583333333333334,0.9523809523809524,0.9521367521367522,0.9532127594627595,0.1
10,Extra Trees,1.0,1.0,1.0,1.0,1.0,3
