,Name,Accuracy,Precision,Recall,F1,Average,Hyperparameter
0,SVM,0.375,0.125,0.3333333333333333,0.1818181818181818,0.2537878787878788,0.1
1,logistic Regression,0.95,0.9500000000000001,0.9555555555555556,0.9502034696937246,0.95143975631232,none
2,Random Forest,0.95,0.9513888888888888,0.9523809523809524,0.949113532563743,0.950720843458396,20
3,Gaussian Naive Bayes,0.925,0.9444444444444445,0.9285714285714285,0.9296969696969697,0.9319282106782106,1e-05
4,KNN,0.925,0.9351432880844645,0.9220779220779222,0.9262566137566136,0.9271194559797501,8
5,Decision Tree,0.95,0.9553571428571429,0.9458874458874459,0.9495647721454173,0.9502023402225016,entropy
6,Multinomial Naive Bayes,0.75,0.7583041958041958,0.7649350649350649,0.752991452991453,0.7565576784326784,0.0
7,Bernoulli Naive Bayes,0.275,0.09166666666666667,0.3333333333333333,0.14379084967320263,0.21094771241830065,0.0
8,AdaBoost,0.925,0.9232226107226107,0.9220779220779222,0.9219072444878896,0.9230519443221056,DecisionTreeClassifier()
9,Gradient Boosting,0.975,0.9791666666666666,0.9761904761904763,0.9769016328156113,0.9768146939181885,0.1
10,Extra Trees,0.95,0.9607843137254902,0.9523809523809524,0.953525641025641,0.9541727267830209,5
