,Name,Accuracy,Precision,Recall,F1,Average,Hyperparameter
0,SVM,0.1518987341772152,0.012658227848101266,0.08333333333333333,0.02197802197802198,0.06746707933416794,0.1
1,logistic Regression,0.25316455696202533,0.2791123958887117,0.2511904761904762,0.2512824675324675,0.2586874741434202,l2
2,Random Forest,0.35443037974683544,0.39980898730898734,0.33849206349206346,0.34861716383455515,0.36033714859561033,100
3,Gaussian Naive Bayes,0.43037974683544306,0.42030122655122654,0.4053571428571429,0.3921188428911541,0.4120392397837417,0.01
4,KNN,0.4177215189873418,0.3691813973063973,0.367526455026455,0.35379502678264285,0.37705609952570923,2
5,Decision Tree,0.35443037974683544,0.34734752427060117,0.3108669108669109,0.3166431267689849,0.3323219854133331,entropy
6,Multinomial Naive Bayes,0.2911392405063291,0.19027777777777777,0.2353174603174603,0.18696691775439403,0.22592534908899028,0.4
7,Bernoulli Naive Bayes,0.17721518987341772,0.17926587301587302,0.19576719576719573,0.18002012607275764,0.183067096182311,0.0
8,AdaBoost,0.3291139240506329,0.3253251022481791,0.28949938949938947,0.2941703737493625,0.309527197386891,DecisionTreeClassifier()
9,Gradient Boosting,0.4177215189873418,0.43246336996337,0.3877645502645502,0.3842418489214828,0.40554782203418616,0.7
10,Extra Trees,0.27848101265822783,0.21050454175454178,0.21825396825396826,0.20884208384208383,0.2290204016272054,9
